DMY,Current_Price,Open,High,Low,Volume,% Changes
11/20/2020,"2,013.16","1,979.88","2,014.64","1,976.41",4.61B,1.62%
11/23/2020,"2,062.78","2,025.43","2,066.57","2,022.09",6.88B,2.46%
11/24/2020,"2,030.61","2,078.14","2,083.59","2,029.41",5.98B,-1.56%
11/25/2020,"2,054.83","2,056.58","2,075.84","2,013.94",5.19B,1.19%
11/26/2020,"2,076.01","2,063.16","2,077.15","2,054.47",3.36B,1.03%
11/27/2020,"2,078.38","2,070.07","2,089.06","2,064.84",3.81B,0.11%
11/30/2020,"2,028.65","2,061.40","2,071.26","2,028.20",8.12B,-2.39%
12/1/2020,"2,050.63","2,044.07","2,066.75","2,042.00",4.46B,1.08%
12/2/2020,"2,045.74","2,041.46","2,066.44","2,039.46",4.05B,-0.24%
12/3/2020,"2,076.01","2,055.64","2,079.35","2,049.64",4.18B,1.48%
12/4/2020,"2,094.34","2,077.41","2,103.87","2,076.41",5.10B,0.88%
12/8/2020,"2,129.41","2,089.82","2,139.40","2,079.06",7.80B,1.67%
12/9/2020,"2,131.90","2,144.31","2,157.13","2,118.36",6.52B,0.12%
12/14/2020,"2,111.04","2,140.56","2,148.62","2,105.78",5.67B,-0.98%
12/15/2020,"2,114.59","2,097.63","2,116.43","2,083.99",5.42B,0.17%
12/16/2020,"2,121.15","2,130.09","2,132.53","2,108.68",9.16B,0.31%
12/17/2020,"2,120.24","2,128.61","2,141.55","2,118.79",16.85B,-0.04%
12/18/2020,"2,116.85","2,121.44","2,130.57","2,103.80",5.13B,-0.16%
12/21/2020,"1,992.04","2,036.55","2,070.40","1,991.67",8.02B,-5.90%
12/22/2020,"2,023.51","1,997.32","2,033.00","1,969.23",5.82B,1.58%
12/23/2020,"2,000.37","2,020.02","2,047.74","2,000.31",5.42B,-1.14%
12/24/2020,"2,036.57","2,007.22","2,042.23","1,992.44",5.24B,1.81%
12/25/2020,"2,056.64","2,047.57","2,061.82","2,041.22",4.61B,0.99%
12/28/2020,"2,026.21","2,072.44","2,073.40","2,025.70",4.49B,-1.48%
12/29/2020,"2,066.08","2,037.11","2,066.08","2,031.53",3.32B,1.97%
12/30/2020,"2,037.03","2,074.17","2,077.26","2,030.60",4.31B,-1.41%
1/4/2021,"2,068.37","2,005.70","2,068.39","1,999.76",4.71B,1.54%
1/5/2021,"2,132.34","2,066.75","2,132.35","2,063.41",6.04B,3.09%
1/6/2021,"2,105.23","2,130.30","2,141.36","2,094.62",7.71B,-1.27%
1/7/2021,"2,137.38","2,133.26","2,146.71","2,119.00",7.77B,1.53%
1/8/2021,"2,178.64","2,160.69","2,179.57","2,152.23",5.92B,1.93%
1/11/2021,"2,175.10","2,182.71","2,201.98","2,161.44",3.82B,-0.16%
1/12/2021,"2,178.47","2,173.69","2,183.95","2,159.47",3.24B,0.15%
01/13/2021,"2,189.87","2,191.70","2,214.41","2,182.35",4.37B,0.52%
01/14/2021,"2,170.26","2,185.20","2,199.21","2,166.60",3.70B,-0.90%
01/15/2021,"2,142.20","2,171.07","2,183.49","2,134.05",3.57B,-1.29%
01/18/2021,"2,125.84","2,128.38","2,136.57","2,114.16",2.64B,-0.76%
01/19/2021,"2,146.20","2,140.54","2,157.61","2,139.45",3.04B,0.96%
01/20/2021,"2,135.64","2,149.00","2,157.59","2,127.52",3.45B,-0.49%
01/21/2021,"2,133.73","2,151.75","2,157.42","2,127.73",4.05B,-0.09%
01/22/2021,"2,109.83","2,125.20","2,140.69","2,102.72",3.32B,-1.12%
01/25/2021,"2,116.40","2,109.84","2,121.03","2,097.55",2.73B,0.31%
01/26/2021,"2,134.45","2,107.77","2,137.91","2,096.01",2.84B,0.85%
01/27/2021,"2,107.43","2,130.41","2,137.65","2,107.43",2.62B,-1.27%
01/28/2021,"2,061.99","2,082.54","2,098.85","2,060.93",3.81B,-2.16%
01/29/2021,"2,060.65","2,077.99","2,081.02","2,042.37",4.55B,-0.06%
2/1/2021,"2,077.57","2,057.74","2,084.15","2,043.41",3.34B,0.82%
2/2/2021,"2,089.05","2,099.58","2,107.62","2,080.09",3.00B,0.55%
2/3/2021,"2,081.12","2,109.12","2,111.71","2,081.02",3.61B,-0.38%
2/4/2021,"2,081.86","2,088.27","2,097.49","2,073.23",3.24B,0.04%
2/5/2021,"2,103.84","2,094.28","2,106.45","2,090.40",3.07B,1.06%
2/8/2021,"2,136.17","2,122.99","2,137.75","2,119.55",4.58B,1.54%
2/9/2021,"2,139.27","2,149.11","2,157.48","2,136.58",3.94B,0.15%
2/10/2021,"2,138.93","2,151.50","2,155.05","2,131.78",2.73B,-0.02%
2/11/2021,"2,125.03","2,145.25","2,146.47","2,116.45",2.18B,-0.65%
02/15/2021,"2,141.70","2,133.62","2,152.18","2,125.88",2.50B,0.78%
02/16/2021,"2,143.00","2,148.62","2,152.97","2,141.35",2.30B,0.06%
02/17/2021,"2,127.61","2,135.89","2,151.20","2,126.22",3.03B,-0.72%
02/18/2021,"2,121.53","2,134.63","2,142.50","2,121.02",2.89B,-0.29%
02/19/2021,"2,104.12","2,110.44","2,115.39","2,092.79",3.07B,-0.82%
02/22/2021,"2,071.99","2,110.28","2,111.96","2,068.93",3.34B,-1.53%
02/23/2021,"2,107.42","2,087.66","2,118.69","2,085.29",2.74B,1.71%
02/24/2021,"2,094.02","2,112.83","2,119.18","2,085.26",2.70B,-0.64%
02/25/2021,"2,105.49","2,122.72","2,128.69","2,101.07",3.87B,0.55%
3/1/2021,"2,111.87","2,101.19","2,120.11","2,092.96",3.19B,0.30%
3/2/2021,"2,112.43","2,115.63","2,122.71","2,108.47",2.98B,0.03%
3/3/2021,"2,176.34","2,123.06","2,176.34","2,122.69",4.60B,3.03%
3/4/2021,"2,154.76","2,161.54","2,168.09","2,147.74",3.88B,-0.99%
3/5/2021,"2,165.92","2,148.25","2,184.01","2,146.33",4.24B,0.52%
3/8/2021,"2,164.58","2,189.55","2,195.05","2,158.48",4.25B,-0.06%
3/9/2021,"2,171.59","2,179.02","2,182.29","2,151.00",3.71B,0.32%
3/10/2021,"2,203.12","2,174.70","2,205.02","2,169.93",4.48B,1.45%
3/11/2021,"2,208.57","2,217.69","2,221.46","2,197.93",4.32B,0.25%
3/12/2021,"2,197.65","2,215.67","2,223.77","2,189.10",4.24B,-0.49%
03/15/2021,"2,190.10","2,204.76","2,208.88","2,184.70",3.08B,-0.34%
03/16/2021,"2,186.15","2,194.75","2,202.15","2,182.74",4.58B,-0.18%
03/17/2021,"2,190.84","2,183.44","2,198.76","2,177.37",3.59B,0.21%
03/18/2021,"2,189.10","2,211.35","2,217.54","2,187.72",3.67B,-0.08%
03/19/2021,"2,176.48","2,176.66","2,182.87","2,164.37",3.74B,-0.58%
03/22/2021,"2,177.25","2,174.42","2,187.24","2,160.89",2.75B,0.04%
03/23/2021,"2,173.93","2,185.74","2,189.01","2,170.10",4.08B,-0.15%
03/24/2021,"2,182.35","2,162.82","2,182.35","2,159.38",3.33B,0.39%
03/25/2021,"2,182.62","2,188.89","2,195.21","2,179.77",3.73B,0.01%
03/26/2021,"2,187.42","2,192.03","2,198.42","2,176.65",3.78B,0.22%
03/29/2021,"2,198.00","2,199.09","2,213.75","2,196.07",3.23B,0.48%
03/30/2021,"2,207.07","2,206.07","2,214.36","2,199.69",4.31B,0.41%
03/31/2021,"2,203.56","2,210.68","2,213.03","2,199.79",2.40B,-0.16%
4/1/2021,"2,214.57","2,213.43","2,223.32","2,206.04",2.85B,0.50%
4/2/2021,"2,215.68","2,226.51","2,231.38","2,213.48",4.02B,0.05%
4/5/2021,"2,190.24","2,219.52","2,222.97","2,184.29",4.10B,-1.15%
4/7/2021,"2,157.21","2,170.87","2,179.47","2,155.60",4.30B,-1.51%
4/8/2021,"2,159.57","2,154.14","2,167.29","2,150.53",2.90B,0.11%
4/9/2021,"2,170.57","2,164.04","2,180.30","2,163.26",2.82B,0.51%
4/12/2021,"2,135.81","2,162.80","2,163.70","2,131.65",2.99B,-1.60%
04/16/2021,"2,148.94","2,143.74","2,150.00","2,124.10",3.50B,0.61%
04/19/2021,"2,182.50","2,156.46","2,184.32","2,151.76",2.77B,1.56%
04/20/2021,"2,189.41","2,179.83","2,193.13","2,174.02",3.06B,0.32%
04/21/2021,"2,185.32","2,181.34","2,193.27","2,179.87",2.17B,-0.19%
04/22/2021,"2,164.44","2,192.48","2,195.04","2,158.68",2.99B,-0.96%
04/23/2021,"2,143.07","2,157.22","2,158.58","2,137.50",3.06B,-0.99%
04/26/2021,"2,146.98","2,140.54","2,151.53","2,128.20",2.81B,0.18%
04/27/2021,"2,146.23","2,151.84","2,161.27","2,137.21",3.05B,-0.03%
04/28/2021,"2,169.24","2,153.81","2,172.61","2,149.51",3.16B,1.07%
04/29/2021,"2,191.34","2,181.64","2,195.02","2,180.21",4.10B,1.02%
04/30/2021,"2,173.52","2,190.59","2,193.37","2,172.42",3.00B,-0.81%
5/5/2021,"2,117.45","2,169.28","2,171.82","2,114.31",4.19B,-2.58%
5/6/2021,"2,151.46","2,123.49","2,158.70","2,120.16",2.77B,1.61%
5/7/2021,"2,172.90","2,167.83","2,179.46","2,159.30",2.62B,1.00%
